Date,Infections,Deaths,Recoveries
2020-03-01,74,1,7
2020-03-02,98,6,7
2020-03-03,118,7,7
2020-03-04,149,11,7
2020-03-05,217,12,7
2020-03-06,262,14,7
2020-03-07,402,17,7
2020-03-08,518,21,7
2020-03-09,583,22,7
2020-03-10,959,28,8
2020-03-11,1281,36,8
2020-03-12,1663,40,12
2020-03-13,2179,47,12
2020-03-14,2727,54,12
2020-03-15,3499,63,12
2020-03-16,4632,85,17
2020-03-17,6421,108,17
2020-03-18,7783,118,105
2020-03-19,13747,200,121
2020-03-20,19273,244,147
2020-03-21,25600,307,176
2020-03-22,33276,417,178
2020-03-23,43843,557,178
2020-03-24,53736,706,348
2020-03-25,65778,942,361
2020-03-26,83836,1209,681
2020-03-27,101657,1581,869
2020-03-28,121465,2026,1072
2020-03-29,140909,2467,2665
2020-03-30,161831,2978,5644
2020-03-31,188172,3874,7024
2020-04-01,213242,4760,8474
2020-04-02,243622,5929,9001
2020-04-03,275367,7090,9707
2020-04-04,308650,8408,14652
2020-04-05,336802,9619,17448
2020-04-06,366317,10783,19581
2020-04-07,397121,12794,21763
2020-04-08,428654,14704,23559
2020-04-09,462780,16544,25410
2020-04-10,496535,18595,28790
2020-04-11,526396,20471,31270
2020-04-12,555313,22029,32988
2020-04-13,580619,23538,43482
2020-04-14,607670,25843,47763
2020-04-15,636350,28338,52096
2020-04-16,667592,32930,54703
2020-04-17,699706,36787,58545
2020-04-18,732197,38664,64840
2020-04-19,758809,40661,70337
2020-04-20,784326,42094,72329
