Date,Infections,Deaths,Recoveries,d_rate1,d_rate2
2020-03-01,74,1,7,0.013513513513513514,0.14285714285714285
2020-03-02,98,6,7,0.061224489795918366,0.8571428571428571
2020-03-03,118,7,7,0.059322033898305086,1.0
2020-03-04,149,11,7,0.0738255033557047,1.5714285714285714
2020-03-05,217,12,7,0.055299539170506916,1.7142857142857142
2020-03-06,262,14,7,0.05343511450381679,2.0
2020-03-07,402,17,7,0.04228855721393035,2.4285714285714284
2020-03-08,518,21,7,0.04054054054054054,3.0
2020-03-09,583,22,7,0.03773584905660377,3.142857142857143
2020-03-10,959,28,8,0.029197080291970802,3.5
2020-03-11,1281,36,8,0.02810304449648712,4.5
2020-03-12,1663,40,12,0.024052916416115455,3.3333333333333335
2020-03-13,2179,47,12,0.021569527306103717,3.9166666666666665
2020-03-14,2727,54,12,0.019801980198019802,4.5
2020-03-15,3499,63,12,0.018005144326950558,5.25
2020-03-16,4632,85,17,0.018350604490500865,5.0
2020-03-17,6421,108,17,0.01681980999844261,6.352941176470588
2020-03-18,7783,118,105,0.015161248875754851,1.1238095238095238
2020-03-19,13747,200,121,0.014548628791736379,1.6528925619834711
2020-03-20,19273,244,147,0.012660198204742385,1.6598639455782314
2020-03-21,25600,307,176,0.0119921875,1.7443181818181819
2020-03-22,33276,417,178,0.012531554273350162,2.342696629213483
2020-03-23,43843,557,178,0.012704422598818512,3.1292134831460676
2020-03-24,53736,706,348,0.013138305791275867,2.028735632183908
2020-03-25,65778,942,361,0.014320897564535254,2.6094182825484764
2020-03-26,83836,1209,681,0.014421012452884203,1.775330396475771
2020-03-27,101657,1581,869,0.015552298415259156,1.8193325661680093
2020-03-28,121465,2026,1072,0.016679701971761413,1.8899253731343284
2020-03-29,140909,2467,2665,0.017507753230808536,0.925703564727955
2020-03-30,161831,2978,5644,0.018401913106883105,0.5276399716513112
2020-03-31,188172,3874,7024,0.020587547562868014,0.5515375854214123
2020-04-01,213242,4760,8474,0.02232205663049493,0.561718196837385
2020-04-02,243622,5929,9001,0.024336882547553177,0.658704588379069
2020-04-03,275367,7090,9707,0.025747457030072595,0.7304007417327701
2020-04-04,308650,8408,14652,0.02724121172849506,0.5738465738465739
2020-04-05,336802,9619,17448,0.0285598066519795,0.5512952773956901
2020-04-06,366317,10783,19581,0.029436253299737657,0.5506868903528931
2020-04-07,397121,12794,21763,0.032216881001004734,0.5878785093966824
2020-04-08,428654,14704,23559,0.034302724341776815,0.6241351500488136
2020-04-09,462780,16544,25410,0.03574916807122175,0.651082251082251
2020-04-10,496535,18595,28790,0.037449525209703245,0.6458839874956582
2020-04-11,526396,20471,31270,0.03888897332046596,0.6546530220658778
2020-04-12,555313,22029,32988,0.039669519712306395,0.6677882866496908
2020-04-13,580619,23538,43482,0.04053949319605456,0.5413274458396578
2020-04-14,607670,25843,47763,0.0425280168512515,0.5410673533906999
2020-04-15,636350,28338,52096,0.04453209711636678,0.5439573095823096
2020-04-16,667592,32930,54703,0.049326534769739604,0.6019779536771293
2020-04-17,699706,36787,58545,0.052574938617076315,0.6283542574088308
2020-04-18,732197,38664,64840,0.052805460825433595,0.5962985811227637
2020-04-19,758809,40661,70337,0.05358528957880046,0.5780883461051793
2020-04-20,784326,42094,72329,0.053669010079992245,0.5819795655960956
