Date,Infections,Deaths,Recoveries
2020-03-01,88325,2996,0
2020-03-02,90261,3085,0
2020-03-03,92795,3160,0
2020-03-04,95075,3254,0
2020-03-05,97841,3347,0
2020-03-06,101756,3459,0
2020-03-07,105781,3558,0
2020-03-08,109753,3801,0
2020-03-09,113521,3987,0
2020-03-10,118369,4263,0
2020-03-11,125697,4610,0
2020-03-12,128229,4721,0
2020-03-13,145187,5409,0
2020-03-14,156246,5828,0
2020-03-15,166137,6428,0
2020-03-16,181278,7149,0
2020-03-17,196788,7955,0
2020-03-18,215936,8848,0
2020-03-19,242963,9955,0
2020-03-20,272377,11436,0
2020-03-21,304680,13136,0
2020-03-22,337376,14835,0
2020-03-23,378074,16753,0
2020-03-24,418074,19013,0
2020-03-25,467723,21785,0
2020-03-26,529701,24788,0
2020-03-27,593423,28288,0
2020-03-28,660824,31952,0
2020-03-29,720285,35421,0
2020-03-30,782490,39563,0
2020-03-31,857608,44402,0
2020-04-01,932638,49910,0
2020-04-02,1013458,56182,0
2020-04-03,1095876,62139,0
2020-04-04,1176059,67960,0
2020-04-05,1249737,72946,0
2020-04-06,1321427,78767,0
2020-04-07,1396438,86662,0
2020-04-08,1480200,93354,0
2020-04-09,1565538,100891,0
2020-04-10,1657929,108113,0
2020-04-11,1733323,114044,0
2020-04-12,1834684,119846,0
2020-04-13,1905192,125561,0
2020-04-14,1974659,132414,0
2020-04-15,2055506,140658,0
2020-04-16,2151872,147946,0
2020-04-17,2239723,156804,0
2020-04-18,2313046,163214,0
2020-04-19,2396461,167773,0
2020-04-20,2467203,173098,0
