Date,Infections,Deaths,Recoveries
2020-03-01,88369,4103,42716
2020-03-02,90306,4208,45602
2020-03-03,92840,4296,48228
2020-03-04,95119,4404,51170
2020-03-05,97885,4509,53796
2020-03-06,101800,4633,55865
2020-03-07,105846,4742,58358
2020-03-08,109820,4996,60694
2020-03-09,113589,5191,62494
2020-03-10,118618,5473,64403
2020-03-11,125872,5833,67002
2020-03-12,128349,5944,68323
2020-03-13,145201,6632,70250
2020-03-14,156097,7057,72623
2020-03-15,167449,7697,76033
2020-03-16,181566,8375,78087
2020-03-17,197092,9175,80839
2020-03-18,214805,10026,83310
2020-03-19,242473,11140,84973
2020-03-20,272004,12569,87418
2020-03-21,304347,14245,91690
2020-03-22,336891,15915,97897
2020-03-23,378159,17789,98349
2020-03-24,417958,19974,107995
2020-03-25,467542,22674,113782
2020-03-26,529437,25535,122135
2020-03-27,593089,28868,130899
2020-03-28,660483,32357,139399
2020-03-29,719859,35636,149066
2020-03-30,782053,39488,164530
2020-03-31,857156,44014,177990
2020-04-01,932214,48824,193133
2020-04-02,1018493,55313,98903
2020-04-03,1095396,60918,98903
2020-04-04,1195979,66733,98903
2020-04-05,1271485,71580,98903
2020-04-06,1344377,76898,98903
2020-04-07,1425389,84450,98903
2020-04-08,1510363,91018,98903
2020-04-09,1594555,98356,98903
2020-04-10,1690871,105598,98903
2020-04-11,1770631,111498,98903
2020-04-12,1845753,117035,98903
2020-04-13,1915952,122455,98903
2020-04-14,1969907,128912,98903
2020-04-15,2055048,137489,98903
2020-04-16,2150147,147200,98903
2020-04-17,2233032,155651,98903
2020-04-18,2316662,162006,98903
2020-04-19,2393186,167335,98903
2020-04-20,2469297,172096,98903
