Date,Infections,Deaths,Recoveries,d_rate1,d_rate2
2020-03-01,88369,4103,42716,0.04643030927135081,0.09605300121734245
2020-03-02,90306,4208,45602,0.046597125329435475,0.09227665453269593
2020-03-03,92840,4296,48228,0.046273158121499354,0.08907688479721323
2020-03-04,95119,4404,51170,0.04629989802247711,0.08606605432870823
2020-03-05,97885,4509,53796,0.046064259079532106,0.08381664064242694
2020-03-06,101800,4633,55865,0.04551080550098232,0.08293206837912825
2020-03-07,105846,4742,58358,0.04480093721066455,0.08125706843963124
2020-03-08,109820,4996,60694,0.04549262429429976,0.08231456157116025
2020-03-09,113589,5191,62494,0.04569984769651991,0.08306397414151759
2020-03-10,118618,5473,64403,0.04613970898177342,0.08498051333012438
2020-03-11,125872,5833,67002,0.04634072708783526,0.08705710277305155
2020-03-12,128349,5944,68323,0.04631122953821222,0.08699852172767589
2020-03-13,145201,6632,70250,0.045674616566001615,0.09440569395017794
2020-03-14,156097,7057,72623,0.045209068720090714,0.0971730718918249
2020-03-15,167449,7697,76033,0.04596623449527916,0.10123235963331711
2020-03-16,181566,8375,78087,0.04612647742418735,0.10725216745424974
2020-03-17,197092,9175,80839,0.04655186410407323,0.11349719813456376
2020-03-18,214805,10026,83310,0.04667489118037289,0.12034569679510262
2020-03-19,242473,11140,84973,0.0459432596619005,0.13110046720723054
2020-03-20,272004,12569,87418,0.04620887928118704,0.14378045711409548
2020-03-21,304347,14245,91690,0.04680512704248769,0.15536045370269386
2020-03-22,336891,15915,97897,0.04724079895277701,0.16256882233367723
2020-03-23,378159,17789,98349,0.04704105944853884,0.1808762671709931
2020-03-24,417958,19974,107995,0.047789490810081395,0.18495300708366127
2020-03-25,467542,22674,113782,0.048496177883484266,0.1992758081243079
2020-03-26,529437,25535,122135,0.048230478791622046,0.2090719286035944
2020-03-27,593089,28868,130899,0.04867397641837903,0.22053644412867937
2020-03-28,660483,32357,139399,0.04898990587191495,0.23211787745966614
2020-03-29,719859,35636,149066,0.049504139004999594,0.23906189204781775
2020-03-30,782053,39488,164530,0.05049274154053498,0.24000486233513646
2020-03-31,857156,44014,177990,0.0513488793171838,0.24728355525591325
2020-04-01,932214,48824,193133,0.052374240249556434,0.25279988401774944
2020-04-02,1018493,55313,98903,0.05430866976994442,0.5592651385701142
2020-04-03,1095396,60918,98903,0.05561276469879386,0.6159368269921034
2020-04-04,1195979,66733,98903,0.05579780246977581,0.6747318079330253
2020-04-05,1271485,71580,98903,0.056296377857387225,0.7237394214533431
2020-04-06,1344377,76898,98903,0.05719972894508014,0.7775092767661244
2020-04-07,1425389,84450,98903,0.05924698450738711,0.8538669201136467
2020-04-08,1510363,91018,98903,0.060262334286525825,0.9202754213724559
2020-04-09,1594555,98356,98903,0.06168241296160998,0.9944693285340181
2020-04-10,1690871,105598,98903,0.06245183695267114,1.0676925876869257
2020-04-11,1770631,111498,98903,0.06297077143684934,1.1273469965521774
2020-04-12,1845753,117035,98903,0.06340772573578371,1.1833311426347026
2020-04-13,1915952,122455,98903,0.06391339657778483,1.2381323114566798
2020-04-14,1969907,128912,98903,0.06544065278208565,1.3034185009554817
2020-04-15,2055048,137489,98903,0.06690306017183054,1.390139833978747
2020-04-16,2150147,147200,98903,0.06846043549580563,1.4883269466042486
2020-04-17,2233032,155651,98903,0.06970388243428666,1.5737743041161543
2020-04-18,2316662,162006,98903,0.06993078834978948,1.6380291801057603
2020-04-19,2393186,167335,98903,0.0699214352749849,1.6919102555028664
2020-04-20,2469297,172096,98903,0.06969433000566558,1.7400483301820977
